received_date,effective_date,type,affected,employer,city,county,notification,source_year
4/6/2020,3/18/2020,Layoff,112,"Black Tap Las Vegas, LLC",Las Vegas,Clark,,2020
4/6/2020,3/26/2020,Layoff,43,Crestline Hotels & Resorts,Las Vegas,Clark,,2020
4/6/2020,3/17/2020,Layoff,120,"AGR Group Nevada, LLC",Las Vegas,Clark,,2020
4/7/2020,6/7/2020,Closure,140,"Monzo Support US, Inc.",Las Vegas,Clark,,2020
4/8/2020,3/29/2020,Layoff,10,"Suit Supply USA, Inc.",Las Vegas,Clark,,2020
4/8/2020,4/17/2020,Layoff,1093,Affinity Gaming,"LV, Pr, Sp","Cl, Wa",,2020
4/9/2020,4/3/2020,Layoff,1244,Elara by Hilton Grand Vactions,Las Vegas,Clark,,2020
4/9/2020,4/1/2020,Layoff,4,"Beasley Media Group, LLC",Las Vegas,Clark,,2020
4/9/2020,3/30/2020,Layoff,176,Abengoa (Abeinsa Abener Teyma),Sparks,Washoe,,2020
4/10/2020,3/30/2020,Layoff,3,Serenity Wellness Growers,N. Las Vegas,Clark,,2020
4/10/2020,3/27/2020,Layoff,19,Oasis Cannabis Dispensary,Las Vegas,Clark,,2020
4/10/2020,4/17/2020,Layoff,21,Affinity Gaming (Corporate),Las Vegas,Clark,,2020
4/11/2020,4/30/2020,Closure,333,"LogistiCare Solutions, LLC",Las Vegas,Clark,,2020
4/13/2020,3/21/2020,Layoff,162,"Prospect Airport Services, Inc.",Las Vegas,Clark,,2020
4/13/2020,4/2/2020,Layoff,36,Somerpoint - Rampart Office,Las Vegas,Clark,,2020
4/13/2020,4/2/2020,Layoff,9,ASTS Management - Rampart Office,Las Vegas,Clark,,2020
4/13/2020,4/11/2020,Layoff,1,Somerpointe - Tahiti Village,Las Vegas,Clark,,2020
4/13/2020,4/11/2020,Layoff,3,"ASNY Company, LLC - Rampart Office",Las Vegas,Clark,,2020
4/13/2020,4/9/2020,Layoff,28,Black Bear Diner - Las Vegas,Las Vegas,Clark,,2020
4/13/2020,3/18/2020,Closure,158,Planet Hollywood (Café Hollywood),Las Vegas,Clark,,2020
4/13/2020,4/11/2020,Layoff,4,Soleil - Tahiti Village Resort,Las Vegas,Clark,,2020
4/13/2020,4/11/2020,Layoff,2,ASTS Management - Tahiti Village,Las Vegas,Clark,,2020
4/14/2020,4/11/2020,Layoff,510,Montbleu Resort Casino & Spa,Stateline,Douglas,,2020
4/14/2020,4/13/2020,Layoff,111,"Saddle West Hotel, Casino & RV Resort",Pahrump,Clark,,2020
4/15/2020,4/8/2020,Layoff,1,"Legacy Transportation Services, Inc.",Las Vegas,Clark,,2020
4/15/2020,3/16/2020,Layoff,1989,"Stratosphere Gaming, LLC",Las Vegas,Clark,,2020
4/15/2020,3/27/2020,Layoff,4,"Glidewell - Crown World, Inc.",Las Vegas,Clark,,2020
4/15/2020,3/16/2020,Layoff,410,"Colorado Belle Gaming, LLC",Laughlin,Clark,,2020
4/15/2020,3/16/2020,Layoff,223,"Golden Pahrump Nugget, LLC",Pahrump,Clark,,2020
4/15/2020,3/16/2020,Layoff,256,Golden Route Operation / Golden Taverns North,Reno,Washoe,,2020
4/15/2020,3/16/2020,Layoff,1362,Golden Route Operations / Golden Taverns South,Las Vegas,Clark,,2020
4/15/2020,3/16/2020,Layoff,32,American Casinos & Entertainment Properties,Las Vegas,Clark,,2020
4/15/2020,3/16/2020,Layoff,365,Arizona Charlie's Boulder,Las Vegas,Clark,,2020
4/15/2020,3/16/2020,Layoff,76,"Golden Pahrump Lakeside, LLC",Pahrump,Clark,,2020
4/15/2020,3/16/2020,Layoff,863,"Aquarius Gaming, LLC",Laughlin,Clark,,2020
4/15/2020,3/16/2020,Layoff,69,"Golden Pahrump Town, LLC",Pahrump,Clark,,2020
4/15/2020,3/16/2020,Layoff,170,"Golden Entertainment Inc. / ACEP, LLC",Las Vegas,Clark,,2020
4/15/2020,3/27/2020,Layoff,47,Glidewell - LV Digital Dental Solutions,Las Vegas,Clark,,2020
4/15/2020,3/16/2020,Layoff,597,"Edgewater Gaming, LLC",Laughlin,Clark,,2020
4/15/2020,3/16/2020,Layoff,548,Arizona Charlie's Decatur,Las Vegas,Clark,,2020
4/16/2020,4/11/2020,Layoff,577,Eldorado Tropicana Resorts,Laughlin,Clark,,2020
4/16/2020,4/14/2020,Layoff,1,FS US Services Limited,Incline Village,Washoe,,2020
4/16/2020,4/26/2020,Layoff,350,Las Vegas Convention & Visitors Authority,Las Vegas,Clark,,2020
4/17/2020,3/17/2020,Closure,81,Hof's Hut Restaurants - Lucille's,Las Vegas,Clark,,2020
4/20/2020,3/21/2020,Layoff,201,Enterprise Holdings,Las Vegas,Clark,,2020
4/20/2020,4/5/2020,Layoff,94,Core-Mark International,Henderson,Clark,,2020
4/20/2020,3/17/2020,Closure,69,Hof's Hut Restaurants - Lucille's,Henderson,Clark,,2020
4/20/2020,4/2/2020,Layoff,61,"Guess?, Inc.",Las Vegas,Clark,,2020
4/22/2020,4/3/2020,Layoff,2728,"Flamingo LV Operating Co., LLC",Las Vegas,Clark,,2020
4/22/2020,4/3/2020,Layoff,2177,"PWHLV, LLC L- Planet Hollywood",Las Vegas,Clark,,2020
4/22/2020,4/3/2020,Layoff,251,"Caesars Linq, LLC",Las Vegas,Clark,,2020
4/22/2020,4/3/2020,Layoff,717,"Corner Investment Co., LLC - Cromwell",Las Vegas,Clark,,2020
4/22/2020,4/3/2020,Layoff,1877,"Parball Newco, LLC - Bally's LV",Las Vegas,Clark,,2020
4/22/2020,4/3/2020,Layoff,973,"Parball, LLC - BLV Laundry",Las Vegas,Clark,,2020
4/22/2020,4/3/2020,Layoff,292,Eastside Convention Center - Caesars,Las Vegas,Clark,,2020
4/22/2020,4/3/2020,Layoff,6148,Desert Palace Inc. - Caesars LV,Las Vegas,Clark,,2020
4/22/2020,4/3/2020,Layoff,2950,"Paris LV Operating Co., LLC",Las Vegas,Clark,,2020
4/22/2020,4/3/2020,Layoff,1457,"3535 LV Newco, LLC - LINQ",Las Vegas,Clark,,2020
