received_date,effective_date,type,affected,employer,city,county,notification,source_year
6/7/2024,8/4/2024,Layoff,51,"The Service Companies, INC.",Primm,Clark,WARN,2024
7/2/2024,10/1/2024,Closure,130,Wells Fargo Bank NA,Las Vegas,Clark,WARN,2024
7/31/2024,9/2/2024,Closure,20,Amentum,Fallon,Lyon,WARN,2024
8/1/2024,9/30/2024,Closure,70,"FM Restaurant HQ, LLC",Las Vegas,Clark,WARN,2024
8/7/2024,8/7/2024,Layoff,72,Procaps Laboratories,Henderson,Clark,WARN,2024
8/27/2024,12/10/2024,Closure,261,Wellpath Recovery Solutions LLC,Las Vegas,Clark,WARN,2024
9/5/2024,,Closure,,Lumber Liquidators INC,Reno/Henderson/Las Vegas,Washoe/Clark,WARN,2024
9/9/2024,9/9/2024,Layoff,1,Lost Boys Interactive LLC,Reno,Washoe,WARN,2024
10/31/2024,10/29/2024,Layoff,79,Wells Fargo Bank NA,Las Vegas,Clark,WARN,2024
11/25/2024,1/1/2024,Layoff,4,Mountain Valley Express,Reno,Washoe,WARN,2024
12/3/2024,12/29/2024,Closure,801,"MV Contract Transportation, INC.",Las Vegas,Clark,WARN,2024
12/18/2024,12/17/2024,Closure,55,Tough Turtle Turf,Las Vegas,Clark,WARN,2024
12/20/2024,2/19/2025,Layoff,4,"Vimo Inc, DBA GetInsured.",Las Vegas,Clark,WARN,2024
12/30/2024,2/19/2025,Layoff,1,"D&A Consulting Services, DBA GetInsured",Las Vegas,Clark,WARN,2024
1/29/2025,2/3/2025,Closure,257,"BEARS, LLC(dba Black Bear Diner)",Carson City,Carson,Non-WARN,2025
1/30/2025,1/31/2025,Closure,12,All Taken Inc.(dba Wienerschnitzel),Reno,Washoe,Non-WARN,2025
2/14/2025,Unknown,Closure,Unknown,JoAnn Stores LLC(dba Jo-Ann Fabrics),Carson City/Elko/R,Carson/Elko/Wash,Non-WARN,2025
2/20/2025,3/31/2025,Closure,1102,Levy Premium Foodservice LP(dba Levy at Allegiant Stadium),Las Vegas,Clark,WARN,2025
2/24/2025,Multiple,Closure,23,FirstService Residential,Las Vegas,Clark,WARN,2025
3/11/2025,3/30/2025,Layoff,25,Luxor,Las Vegas,Clark,Non-WARN,2025
3/11/2025,3/30/2025,Layoff,16,Excalibur,Las Vegas,Clark,Non-WARN,2025
2/24/2025,Unknown,Closure,36,"F21 Opcco, LLC dba Forever 21",Reno/Sparks,Washoe,Non-WARN,2025
3/17/2025,6/30/2025,Closure,1,BH Security (DBA Brinks Home),Las Vegas,Clark,WARN,2025
3/26/2025,5/24/2025,Layoff,3,"Block, Inc (dba Block)",unknown,unknown,WARN,2025
3/31/2025,5/30/2025,Closure,57,The HC Companies (HC Companies),Sparks,Washoe,WARN,2025
4/23/2025,6/2/2025,Closure,65,"PrimeSource Building Products, Inc.",Carson City,Carson,WARN,2025
5/5/2025,5/29/2025,Layoff,133,"Tilson Technology Management, Inc.",Las Vegas,Clark,WARN,2025
5/14/2025,7/7/2025,Closure,45,Hogs & Heifers of Las Vegas,Las Vegas,Clark,Non-WARN,2025
5/14/2025,5/18/2025,Closure,unknown,Mr Chow(Caesars Palace),Las Vegas,Clark,Non-WARN,2025
5/15/2025,5/15/2025,Closure,86,"Bahama Breeze(the ""Company"")",Las Vegas,Clark,WARN,2025
5/29/2025,8/16/2025,Closure,24,Nordstrom,Remote,Remote,WARN,2025
6/2/2025,8/2/2025,Closure,325,Amazon,Reno,Washoe,WARN,2025
6/6/2025,6/5/2025,Closure,20+,"Sierra Helath and Wellness Centers, LLC",Reno,Washoe,Non-WARN,2025
6/12/2025,8/15/2025,Closure,45,"System Consultants, Inc",Fallon,Churchill,Non-WARN,2025
6/27/2025,9/1/2025,Closure,149,"Elko Bus Lines, LLC",Elko,Elko,WARN,2025
7/7/2025,7/3/2025,Closure,19,"Quality Built, LLC",Remote,Remote,WARN,2025
7/11/2025,7/31/2025,Closure,2,Fastenal,Winnemucca,Humbolt,Non-WARN,2025
7/14/2025,8/30/2025,Closure,unknown,Mellow Fellow,Reno,Washoe,Non-WARN,2025
7/18/2025,8/11/2025,Closure,50,KIRA Training Services,Fallon,Churchill,WARN,2025
7/16/2025,8/24/2025,Closure,35,Scolari's Warehouse Markets In(Scolaris Food and Drug Company,Sun Valley and Spa,Washoe,Non-WARN,2025
7/21/2025,7/20/2025,Closure,70,Blue Martini,Las Vegas,Clark,Non-WARN,2025
7/25/2025,7/30/2025,Closure,10,American Reeling Devices,Dayton,Lyon,Non-WARN,2025
7/29/2025,9/30/2025,Closure,126,Poker Palace,North Las Vegas,Clark,WARN,2025
7/31/2025,9/29/2025,Layoff,77,Ayr Wellness (DBA BP Solutions LLC) Crane Way Location,Sparks,Washoe,WARN,2025
7/31/2025,9/29/2025,Layoff,5,Ayr Wellness (DBA BP Solutions LLC) Hymer Ave Location,Sparks,Washoe,WARN,2025
8/4/2025,10/3/2025,Closure,53,Ingram Micro Inc.,Las Vegas,Clark,WARN,2025
8/7/2025,10/7/2025,Closure,154,SA Autmotive,Reno,Washoe,WARN,2025
8/18/2025,10/31/2025,Layoff,1,"Zeco Systems, Inc. (DBA Shell Recharge Solutions)",Remote,Remote,WARN,2025
8/21/2025,11/15/2025,Closure,27,Nordstrom,Remote,Remote,WARN,2025
8/30/2025,11/3/2025,Closure,344,"Drai's Management Group, LLC",Las Vegas,Clark,WARN,2025
8/30/2025,11/3/2025,Closure,7,"Drai's After Hours, LLC",Las Vegas,Clark,WARN,2025
9/16/2025,Jun-26,Closure,70,XS Nightclub(Wynn Las Vegas),Las Vegas,Clark,Non-WARN,2025
9/26/2025,11/18/2025,Closure,79,Carlos'n Charlie's,Las Vegas,Clark,WARN,2025
9/29/2025,12/1/2025,Layoff,393,Spirit Airlines Inc,Las Vegas,Clark,WARN,2025
10/9/2025,12/12/2025,Closure,119,POST Consumer Brands,Sparks,Washoe,WARN,2025
10/15/2025,10/3/2025,Layoff,31,Unimacts Golbal LLC,Las Vegas,Clark,Non-WARN,2025
10/7/2025,9/29/2025,Layoff,5,JR Simplot Co.,Winnemucca,Humbolt,Non-WARN,2025
10/20/2025,Unknown,Closure,Unknown,Starbucks Corporation,Las Vegas,Clark,Non-WARN,2025
10/20/2025,Unknown,Layoff,Unknown,Las Vegas Sands Corp,Las Vegas,Clark,Non-WARN,2025
10/31/2025,1/1/2026,Layoff,32,Spirit Airlines Inc,Las Vegas,Clark,WARN,2025
11/12/2025,11/12/2025,Layoff,21,Diamond Plastics CO.,Golconda,Humboldt,Non-WARN,2025
11/17/2025,2/21/2026,Layoff,43,Nordstrom Credit Operations,Remote,Remote,WARN,2025
11/19/2025,9/5/2025,Layoff,12,Trump International Hotel Las Vegas,Las Vegas,Clark,Non-WARN,2025
11/19/2025,11/5/2025,Closure,35,Run Walk 1 LLC (DBA Walk Ons Sports Bistreaux),Las Vegas,Clark,Non-WARN,2025
12/4/2025,1/27/2026,Layoff,79,Turnkey One Source,Las Vegas,Clark,WARN,2025
1/8/2025,3/10/2026,Layoff,3,SMBC Manubank,Remote,Remote,Non-WARN,2026
1/22/2026,3/15/2026,Layoff,1,Spirit Airlines,Las Vegas,Clark,WARN,2026
1/29/2026,3/31/2026,Layoff,1,Shell Recharge Solutions,Remote,Remote,WARN,2026
1/27/2026,1/27/2026,Layoff,35,Ace Dragon Wok(WAA Hospitality LLC),Las Vegas,Clark,Non-WARN,2026
2/26/2026,4/30/2026,Layoff,70,Boulder City Hospital,Boulder City,Clark,WARN,2026
2/27/2026,4/30/2026,Layoff,209,"SK Food Group, Inc.",Reno,Washoe,WARN,2026
2/24/2026,4/1/2026,Closure,27,Water Safety Corporation,Reno,Washoe,Non-WARN,2026
3/2/2026,5/1/2026,Closure,113,iHerb,Las Vegas,Clark,WARN,2026
3/5/2026,5/4/2026,Layoff,22,Liberty Dental Plan,Las Vegas,Clark,WARN,2026
3/6/2026,5/31/2026,Closure,70,Saks & Company,Las Vegas,Clark,WARN,2026
3/11/2026,3/6/2026,Layoff,1,C2 technologies,Las Vegas,Clark,WARN,2026
4/6/2026,4/26/2026,Closure,unknown,Dig It Coffee Co,Las Vegas,Clark,Non-WARN,2026
5/4/2026,5/2/2026,Closure,999,Spirit Airlines,Las Vegas/Reno,Clark/Washoe,WARN,2026
5/5/2026,7/4/2026,Closure,344,Primadonna Co LLC,Primm,Clark,WARN,2026
,,Layoff,162,Intuit Inc,Reno,Washoe,WARN,2026
6/26/2026,8/25/2028,Layoff,61,"FTGU, LLC",Las Vegas,Clark,WARN,2026
6/29/2026,8/28/2026,Layoff,5,Conduent,Remote,Remote,WARN,2026
