received,employer,city,region,layoff_dates,employees
2023-02-07,Northeast Health Group d/b/a Willimansett East,Chicopee,West,2023-04-07,104
2023-04-14,David's Bridal,West Springfield,West,4/14/2023 - 8/11/2023,work in progress
2023-04-24,"Community Healthlink, Inc. Thayer Detoxification (""Detox"")",Worcester,West,2023-04-21,39
2023-04-24,"Community Healthlink, Inc. Thayer PASSages(""PASSages"")",Worcester,West,2023-05-05,21
2023-04-24,"Community Healthlink, Inc. Transitional Support Services (""TSS"")",Worcester,West,2023-05-05,18
2023-06-01,Trulieve,Holyoke,West,7/31/2023 and 12/31/2023,90
2023-06-15,Vibra Hospital of Western MA,Springfield,West,2023-08-15,87
2023-06-27,Fresh American LLC (Annie Selk),Pittsfield,West,2023-08-28,50
2023-03-07,"Radius Global Solutions, LLC",Remote Worker/National,Remote/National,2023-04-03,1
2023-03-24,"Aspiration Partners, Inc.",Remote Workers/National,Remote/National,5/6/23 - 6/1/23,180 (1 resides in MA)
2023-04-27,"Transplant Genomics, Inc.",Framingham,Remote/National,2023-04-28,9
2023-04-28,"Makita USA, Inc.",Massachusetts,Remote/National,2023-06-28,3
2023-06-01,Path AI,Boston,Remote/National,2023-07-29,36 (reside in other states/ remote)
2023-06-14,"Bitwise Industries, Inc.",Somerville,Remote/National,2023-06-14,1
2024-06-27,"Takeda Pharmaceuticals USA, Inc.",Cambridge,Boston,Late 8/2024 ending 3/2025,189
2024-06-27,"Takeda Pharmaceuticals USA, Inc.",Lexington,Metro Southwest,Late 8/2044 ending 3/2025,31
2024-06-27,"EMD Serono, Inc,",Rockland,Southeast,2024-09-03,t/b/d
2024-06-17,"Ginkgo Bioworks, Inc.","Boston, Cambridge",Boston,8/16/2024 - 12/31/2024,158
2024-06-14,UMass Chan Medical School,Mattapan,Boston,8/4/2024 and/or 8/30/2024,13
2024-06-13,"Functional Coatings, LLC",Newburyport,Northeast,"Three (3) stages; 9/6/2024, 12/6/2024 and 3/31/2025",73
2024-06-03,"Studentuniverse.com, Inc.",Boston,Boston,8/3/2024 - 3/3/2025,32
