Business Legal Name,Date Layoff/Closure Starts,Date of WARN Notice ,Date Posted  ,Impacted Site Address,Impacted Site County,Layoff or Closure?,Permanent or Temporary Layoff?,Reason for Layoff/Closure   ,Index,Number of Affected Workers ,Number of Affected Workers 
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"697 East Gun Hill Road  Bronx, NY, 10467",Bronx,Closure,Permanent,Funding Loss,11,5,5
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"706 Ralph Ave  Brooklyn, NY, 11212",Kings,Closure,Permanent,Funding Loss,46,1,1
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"763 9th Ave  New York, NY, 10019",New York,Closure,Permanent,Funding Loss,77,1,1
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"797 Southern Blvd  Bronx, NY, 10459",Bronx,Closure,Permanent,Funding Loss,12,3,3
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"840 Franklin Ave  Brooklyn, NY, 11225",Kings,Closure,Permanent,Funding Loss,47,1,1
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"890 East Tremont Ave  Bronx, NY, 10460",Bronx,Closure,Permanent,Funding Loss,13,5,5
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"925 East 174th Street  Bronx, NY, 10460",Bronx,Closure,Permanent,Funding Loss,14,3,3
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"926 Columbus Ave  New York, NY, 10025",New York,Closure,Permanent,Funding Loss,78,3,3
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"961 Pennsylvania Ave  Brooklyn, NY, 11207",Kings,Closure,Permanent,Funding Loss,48,3,3
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"977 Prospect Ave  Bronx, NY, 10459",Bronx,Closure,Permanent,Funding Loss,15,1,1
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"1075 Broadway  Brooklyn, NY, 11221",Kings,Closure,Permanent,Funding Loss,49,2,2
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"1139 Liberty Ave  Brooklyn, NY, 11208",Kings,Closure,Permanent,Funding Loss,50,3,3
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"1202 Morrison Ave  Bronx, NY, 10472",Bronx,Closure,Permanent,Funding Loss,16,4,4
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"1204 Elder Ave  Bronx, NY, 10472",Bronx,Closure,Permanent,Funding Loss,17,3,3
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"1245 Southern Blvd  Bronx, NY, 10459",Bronx,Closure,Permanent,Funding Loss,18,2,2
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"1294 Fulton St  Brooklyn, NY, 11216",Kings,Closure,Permanent,Funding Loss,51,5,5
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"1441 St Johns Pl  Brooklyn, NY, 11213",Kings,Closure,Permanent,Funding Loss,52,6,6
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"1500 Bruckner Blvd  Bronx, NY, 10473",Bronx,Closure,Permanent,Funding Loss,19,2,2
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"1532 Utica Ave  Brooklyn, NY, 11234",Kings,Closure,Permanent,Funding Loss,53,3,3
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"1569 Pitkin Ave  Brooklyn, NY, 11212",Kings,Closure,Permanent,Funding Loss,54,3,3
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"1588 Fulton St  Brooklyn, NY, 11213",Kings,Closure,Permanent,Funding Loss,55,1,1
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"1640 Broadway  Brooklyn, NY, 11207",Kings,Closure,Permanent,Funding Loss,56,3,3
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"1756 Bushwick Ave  Brooklyn, NY, 11207",Kings,Closure,Permanent,Funding Loss,57,2,2
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"1784 Westchester Ave  Bronx, NY, 10472",Bronx,Closure,Permanent,Funding Loss,20,1,1
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"1813 Kings Hwy  Brooklyn, NY, 11229",Kings,Closure,Permanent,Funding Loss,58,4,4
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"1865 Bruckner Blvd  Bronx, NY, 10472",Bronx,Closure,Permanent,Funding Loss,21,3,3
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"1908 Church Ave  Brooklyn, NY, 11226",Kings,Closure,Permanent,Funding Loss,59,4,4
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"1908 Cross Bronx Expwy  Bronx, NY, 10472",Bronx,Closure,Permanent,Funding Loss,22,4,4
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"2187 White Plains Rd  Bronx, NY, 10462",Bronx,Closure,Permanent,Funding Loss,23,6,6
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"2193 Grand Concourse  Bronx, NY, 10453",Bronx,Closure,Permanent,Funding Loss,24,2,2
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"2201 Bedford Avenue  Brooklyn, NY, 11226",Kings,Closure,Permanent,Funding Loss,60,2,2
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"2323 Mermaid Ave  Brooklyn, NY, 11224",Kings,Closure,Permanent,Funding Loss,61,3,3
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"2351 Second Ave  New York, NY, 10035",New York,Closure,Permanent,Funding Loss,79,2,2
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"2356 Grand Concourse  Bronx, NY, 10458",Bronx,Closure,Permanent,Funding Loss,25,2,2
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"2441 Jerome Ave  Bronx, NY, 10468",Bronx,Closure,Permanent,Funding Loss,26,4,4
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"2488 Linden Blvd  Brooklyn, NY, 11208",Kings,Closure,Permanent,Funding Loss,62,3,3
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"2510B Hylan Blvd  Staten Island, NY, 10306",Richmond,Closure,Permanent,Funding Loss,106,3,3
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"2690 Route 112  Medford, NY, 11763",Suffolk,Closure,Permanent,Funding Loss,108,4,4
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"3212 Third Ave  Bronx, NY, 10451",Bronx,Closure,Permanent,Funding Loss,27,2,2
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"3352 Broadway  New York, NY, 10031",New York,Closure,Permanent,Funding Loss,80,4,4
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"3407 Fulton Street  Brooklyn, NY, 11208",Kings,Closure,Permanent,Funding Loss,63,3,3
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"3480 Baychester Ave  Bronx, NY, 10475",Bronx,Closure,Permanent,Funding Loss,28,5,5
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"3657 Broadway  New York, NY, 10031",New York,Closure,Permanent,Funding Loss,81,1,1
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"3725 East Tremont Ave  Bronx, NY, 10465",Bronx,Closure,Permanent,Funding Loss,29,3,3
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"4551 Third Ave  Bronx, NY, 10458",Bronx,Closure,Permanent,Funding Loss,30,3,3
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"5207 Broadway  Bronx, NY, 10463",Bronx,Closure,Permanent,Funding Loss,31,2,2
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"5215 Fourth Ave  Brooklyn, NY, 11220",Kings,Closure,Permanent,Funding Loss,64,3,3
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"5805 Fourth Ave  Brooklyn, NY, 11220",Kings,Closure,Permanent,Funding Loss,65,2,2
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"9726 Seaview Ave  Brooklyn, NY, 11236",Kings,Closure,Permanent,Funding Loss,66,2,2
Penny Transportation,2025-10-31,2025-10-20,2025-12-24,"3100 Cropsey Avenue  Brooklyn, NY, 11224",Kings,Layoff,Permanent,Contract Expiration,6,145,145
"Peraton Enterprise Solutions, LLC.",2025-09-29,2025-07-02,2026-01-05,"NY Remote Employees  Rochester, NY, 14613",Monroe,Layoff,Permanent,Contract Termination,3,65,65
Peraton Inc.,2025-09-29,2025-07-02,2026-01-28,"Remote  Remote, NY, 32714",n/a,Layoff,Permanent,Contract Loss,7,1,1
Personio Corp.,2026-01-27,2025-10-29,2026-01-07,"330 W 34th St. 6th Floor New York, NY, 10001",New York,Layoff,Permanent,Economic,23,47,47
"Philippe NYC 1, LLC.",2025-07-07,2025-04-07,2025-05-16,"33 E. 60th Street  New York, NY, 10065",New York,Closure,Permanent,Expiration of Lease,5,64,64
"Pinnacle City Living, LLC.",2025-12-16,2025-09-16,2025-11-06,"28 Lamartine Terrace  Yonkers, NY, 10701",Westchester,Closure,Permanent,Sale of Business,45,3,3
"Pinnacle City Living, LLC.",2025-12-16,2025-09-16,2025-11-06,"35 Claver Place  Brooklyn, NY, 11238",Kings,Closure,Permanent,Sale of Business,25,1,1
"Pinnacle City Living, LLC.",2025-12-16,2025-09-16,2025-11-06,"37 West 8th Street  New York, NY, 10011",New York,Closure,Permanent,Sale of Business,31,1,1
"Pinnacle City Living, LLC.",2025-12-16,2025-09-16,2025-11-06,"50 St. Andrews Place  Yonkers, NY, 10705",Westchester,Closure,Permanent,Sale of Business,46,2,2
"Pinnacle City Living, LLC.",2025-12-16,2025-09-16,2025-11-06,"63 Wall Street  New York, NY, 10005",New York,Closure,Permanent,Sale of Business,32,6,6
"Pinnacle City Living, LLC.",2025-12-16,2025-09-16,2025-11-06,"112 St. Edwards Street  Brooklyn, NY, 11205",Kings,Closure,Permanent,Sale of Business,26,3,3
"Pinnacle City Living, LLC.",2025-12-16,2025-09-16,2025-11-06,"130 West 15th Street  New York, NY, 10011",New York,Closure,Permanent,Sale of Business,33,13,13
"Pinnacle City Living, LLC.",2025-12-16,2025-09-16,2025-11-06,"146 S. 4th Street  Brooklyn, NY, 11211",Kings,Closure,Permanent,Sale of Business,27,1,1
"Pinnacle City Living, LLC.",2025-12-16,2025-09-16,2025-11-06,"153-19 Jamaica Avenue  Queens, NY, 11432",Queens,Closure,Permanent,Sale of Business,42,3,3
"Pinnacle City Living, LLC.",2025-12-16,2025-09-16,2025-11-06,"159 Alaska Street  Staten Island, NY, 10310",Richmond,Closure,Permanent,Sale of Business,43,3,3
"Pinnacle City Living, LLC.",2025-12-16,2025-09-16,2025-11-06,"200 E  87th Street  New York, NY, 10128",New York,Closure,Permanent,Sale of Business,34,13,13
"Pinnacle City Living, LLC.",2025-12-16,2025-09-16,2025-11-06,"200 E. 82nd Street  New York, NY, 10028",New York,Closure,Permanent,Sale of Business,35,3,3
"Pinnacle City Living, LLC.",2025-12-16,2025-09-16,2025-11-06,"200 Montague Street  Brooklyn, NY, 11201",Kings,Closure,Permanent,Sale of Business,28,7,7
"Pinnacle City Living, LLC.",2025-12-16,2025-09-16,2025-11-06,"201 West 81st Street  New York, NY, 10024",New York,Closure,Permanent,Sale of Business,36,1,1
"Pinnacle City Living, LLC.",2025-12-16,2025-09-16,2025-11-06,"210 Broadway  Staten Island, NY, 10310",Richmond,Closure,Permanent,Sale of Business,44,9,9
"Pinnacle City Living, LLC.",2025-12-16,2025-09-16,2025-11-06,"221 Second Avenue  New York, NY, 10003",New York,Closure,Permanent,Sale of Business,37,1,1
"Pinnacle City Living, LLC.",2025-12-16,2025-09-16,2025-11-06,"280 East 161 Street  Bronx, NY, 10451",Bronx,Closure,Permanent,Sale of Business,18,8,8
"Pinnacle City Living, LLC.",2025-12-16,2025-09-16,2025-11-06,"300 Niagara Street  Buffalo, NY, 14201",Erie,Closure,Permanent,Sale of Business,23,3,3
"Pinnacle City Living, LLC.",2025-12-16,2025-09-16,2025-11-06,"321 East 69th Street  New York, NY, 10021",New York,Closure,Permanent,Sale of Business,38,1,1
"Pinnacle City Living, LLC.",2025-12-16,2025-09-16,2025-11-06,"395 Leonard Street  Brooklyn, NY, 11211",Kings,Closure,Permanent,Sale of Business,29,2,2
"Pinnacle City Living, LLC.",2025-12-16,2025-09-16,2025-11-06,"426-428 West 48th Street  New York, NY, 10022",New York,Closure,Permanent,Sale of Business,39,1,1
"Pinnacle City Living, LLC.",2025-12-16,2025-09-16,2025-11-06,"440 Clinton Street  Buffalo, NY, 14204",Erie,Closure,Permanent,Sale of Business,24,5,5
"Pinnacle City Living, LLC.",2025-12-16,2025-09-16,2025-11-06,"707 Concourse Village West  Bronx, NY, 10451",Bronx,Closure,Permanent,Sale of Business,19,5,5
"Pinnacle City Living, LLC.",2025-12-16,2025-09-16,2025-11-06,"972-976 Leggett Avenue  Bronx, NY, 10455",Bronx,Closure,Permanent,Sale of Business,20,1,1
"Pinnacle City Living, LLC.",2025-12-16,2025-09-16,2025-11-06,"1105 Jerome Avenue  Bronx, NY, 10452",Bronx,Closure,Permanent,Sale of Business,21,2,2
"Pinnacle City Living, LLC.",2025-12-16,2025-09-16,2025-11-06,"1201 Broadway  New York, NY, 10001",New York,Closure,Permanent,Sale of Business,40,35,35
"Pinnacle City Living, LLC.",2025-12-16,2025-09-16,2025-11-06,"1290 Avenue of the Americas  New York, NY, 10104",New York,Closure,Permanent,Sale of Business,41,1,1
"Pinnacle City Living, LLC.",2025-12-16,2025-09-16,2025-11-06,"1620 Fulton Street  Brooklyn, NY, 11213",Kings,Closure,Permanent,Sale of Business,30,2,2
"Pinnacle City Living, LLC.",2025-12-16,2025-09-16,2025-11-06,"2363 Southern Blvd  Bronx, NY, 10460",Bronx,Closure,Permanent,Sale of Business,22,2,2
"Pinnacle Northeast Union, LLC",2025-12-16,2025-09-17,2025-09-25,"395 Leonard Street  Brooklyn, NY, 11211",Kings,Closure,Permanent,Sale of Business,49,5,5
"Pinnacle Thermal Solutions, LLC.",2025-02-06,2025-02-06,2025-03-04,"41 Box Street  Brooklyn, NY, 11222",Kings,Closure,Permanent,Economic,252,4,4
PL Developments,2025-11-18,2025-08-18,2025-09-24,"200 Hicks St  Westbury, NY, 11590",Nassau,Layoff,Permanent,Economic,37,94,94
"Plug Power, Inc.",2025-06-23,2025-03-25,2025-07-03,"125 Vista Blvd.  Slingerlands, NY, 12159",Albany,Layoff,Permanent,Economic,50,278,278
"Plug Power, Inc.",2025-06-23,2025-03-25,2025-07-03,"620 Van Patten Drive  Clifton Park, NY, 12065",Saratoga,Layoff,Permanent,Economic,52,2,2
"Plug Power, Inc.",2025-06-23,2025-03-25,2025-07-03,"968 Albany Shaker Rd  Latham, NY, 12110",Albany,Layoff,Permanent,Economic,51,87,87
Poly Craft Industries Corp.,2025-07-31,2025-04-30,2025-09-25,"40 Ranick Road  Hauppauge, NY, 11788",Suffolk,Closure,Permanent,Relocation of Business,6,58,58
Poly Craft Industries Corp.,2025-07-31,2025-04-30,2025-09-25,"65 Commerce Drive  Hauppauge, NY, 11788",Suffolk,Closure,Permanent,Relocation of Business,7,7,7
"Poly-Pak Industries Group, LLC",2025-05-01,2025-01-29,2025-02-06,"125 Spagnoli Road  Melville, NY, 11747",Suffolk,Closure,Permanent,Expiration of Lease,7,146,146
"Premier Home Health Care Services, Inc.",2026-03-03,2025-12-03,2026-03-04,"5 Bryant Park 5th Floor New York, NY, 10018",New York,Layoff,Permanent,Contract Loss,3,75,75
"Presbyterian Home for Central New York, Inc.",2026-01-28,2025-10-28,2025-11-26,"4290 Middle Settlement Road  New Hartford, NY, 13413",Oneida,Closure,Permanent,Economic,27,128,128
"Presto Transport, LLC.",2025-06-06,2025-05-23,2025-06-10,"55-15 Grand Avenue  Maspeth, NY, 11378",Queens,Closure,Permanent,Economic,55,56,56
Preston High School,2025-06-30,2025-03-24,2025-04-30,"2780 Schurz Avenue  Bronx, NY, 10465",Bronx,Closure,Permanent,Economic,238,0,0
Pride Transportation Services Inc.,2025-10-31,2025-10-20,2025-12-10,"80 Edison Avenue  Mt Vernon, NY, 10550",Westchester,Layoff,Permanent,Contract Expiration,11,832,832
Pride Transportation Services Inc.,2025-10-31,2025-10-20,2025-12-10,"612 Wortman Ave  Brooklyn, NY, 11208",Kings,Layoff,Permanent,Contract Expiration,10,885,885
Public Health Solutions,2025-04-06,2025-01-06,2025-01-08,"295 Flatbush Ave Ext  Brooklyn, NY, 11201",Kings,Closure,Permanent,Economic,259,23,23
Public Health Solutions,2025-04-06,2025-01-06,2025-01-08,"1873 Eastern Pkwy  Brooklyn, NY, 11233",Kings,Closure,Permanent,Economic,260,8,8
Publishers Clearing House,2025-04-06,2025-01-15,2026-01-22,"7 West 22nd Street 10th Floor New York, NY, 10010",New York,Layoff,Permanent,Economic,22,21,21
Publishers Clearing House,2025-04-06,2025-01-15,2026-01-22,"300 Jericho Quadrangle Remote employees Jericho, NY, 11753",Nassau,Layoff,Permanent,Economic,21,46,46
Quality Transportation Corporation(Rescission),2025-10-31,2025-10-20,2025-12-22,"400 Stanley Avenue  Brooklyn, NY, 11207",Kings,Layoff,Temporary,Contract Expiration,9,0,0
Quality Transportation Corporation(Rescission),2025-10-31,2025-10-20,2025-12-22,"525 Hutchinson River Parkway  Bronx, NY, 10465",Bronx,Layoff,Temporary,Contract Expiration,8,0,0
QuantumScape Battery Inc.,2025-01-28,2025-01-28,2025-02-04,"One Remote employee  East Hampton, NY, 11937",Suffolk,Layoff,Permanent,Economic,258,1,1
Rapid Armored Corporation,2025-09-12,2025-11-14,2026-01-15,"254 Scholes Street  Brooklyn, NY, 11201",Kings,Closure,Permanent,Bankruptcy,3,58,58
Rapid Armored Corporation,2025-09-12,2025-11-14,2026-01-15,"1165 Montauk Highway  East Patchogue, NY, 11772",Suffolk,Closure,Permanent,Bankruptcy,4,10,10
"Rapid Reliable Care by DocGo, LLC",2025-03-08,2025-03-14,2025-05-09,"45 E 45th St  New York, NY, 10017",New York,Closure,Permanent,Contract Termination,27,52,52
"Rapid Reliable Care by DocGo, LLC",2025-03-08,2025-02-27,2025-05-09,"47 Hall Street  Brooklyn, NY, 11205",Kings,Closure,Permanent,Contract Termination,28,183,183
"Rapid Reliable Care by DocGo, LLC",2025-03-08,2025-03-25,2025-05-09,"47-11 Austell Place Austell Place Humanitarian Emergency Response and Relief Center Long Island City, NY, 11101",Queens,Closure,Permanent,Contract Termination,26,6,6
"Rapid Reliable Care by DocGo, LLC",2025-03-08,2025-02-27,2025-05-09,"220 W 42nd St  New York, NY, 10036",New York,Closure,Permanent,Contract Termination,29,45,45
"Rapid Reliable Care by DocGo, LLC",2025-03-08,2025-02-27,2025-05-09,"371 Seventh Ave  New York, NY, 10001",New York,Closure,Permanent,Contract Termination,30,43,43
"Rapid Reliable Care by DocGo, LLC",2025-03-08,2025-02-27,2025-05-09,"440 W 57th Street  New York, NY, 10019",New York,Closure,Permanent,Contract Termination,31,37,37
"Rapid Reliable Care by DocGo, LLC",2025-03-08,2025-03-25,2025-05-09,"455 Jefferson Street Jefferson Humanitarian Emergency Response and Relief Center Brooklyn, NY, 11237",Kings,Closure,Permanent,Contract Termination,25,4,4
"Rapid Reliable Care by DocGo, LLC",2025-03-08,2025-03-25,2025-05-09,"825 E 141 St Bruckner Humanitarian Emergency Response and Relief Center Bronx, NY, 10454",Bronx,Closure,Permanent,Contract Termination,24,12,12
RCA Servicer at Westfield,2025-10-20,2025-08-25,2025-09-08,"26 Cass St.  Westfield, NY, 14787",Chautauqua,Closure,Permanent,Expiration of Lease,3,93,93
"Red Clam, LLC.",2025-09-23,2025-06-20,2025-06-26,"170 Thompson St  New York, NY, 10012",New York,Closure,Permanent,Economic,53,33,33
Restaurant Associates,2025-09-29,2025-07-08,2025-08-14,"388 Greenwich Street  New York, NY, 10013",New York,Closure,Permanent,Contract Loss,59,79,79
Revel Leasing Corp.,2025-08-22,2025-08-11,2025-09-30,"35 Bowne St.  Brooklyn, NY, 11231",Kings,Closure,Permanent,Other,18,4,4
Revel Leasing Corp.,2025-08-22,2025-08-11,2025-09-30,"42-09 28th St.  Queens, NY, 11101",Queens,Closure,Permanent,Other,20,12,12
Revel Leasing Corp.,2025-08-22,2025-08-11,2025-09-30,"467 Marcy Avenue  Brooklyn, NY, 11206",Kings,Closure,Permanent,Other,19,19,19
Revel Transit Inc.,2025-08-22,2025-08-11,2025-09-25,"273 S 5th St. Suite 301  Brooklyn, NY, 11211",Kings,Layoff,Permanent,Other,22,29,29
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"1 Crum Elbow Road  Hyde Park, NY, 12538",Dutchess,Closure,Permanent,Economic,83,14,14
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"9 Broad Street  Salamanca, NY, 14779",Cattaraugus,Closure,Permanent,Economic,68,13,13
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"18 Indian Head Road  Kings Park, NY, 11754",Suffolk,Closure,Permanent,Economic,220,11,11
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"21-25  Broadway  Long Island City, NY, 11106",Queens,Closure,Permanent,Economic,198,16,16
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"21B Knolls Crescent  Bronx, NY, 10463",Bronx,Closure,Permanent,Economic,62,9,9
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"23 Eastport Manor Road  Eastport, NY, 11941",Suffolk,Closure,Permanent,Economic,221,9,9
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"33-01 30Th Avenue  Astoria, NY, 11103",Queens,Closure,Permanent,Economic,199,22,22
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"40 South Erie Street  Mayville, NY, 14757",Chautauqua,Closure,Permanent,Economic,72,7,7
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"40 West Main Street  Springville, NY, 14141",Erie,Closure,Permanent,Economic,89,9,9
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"43-20 Bell Blvd.  Bayside, NY, 11361",Queens,Closure,Permanent,Economic,200,17,17
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"43-68 Amboy Road  Staten Island, NY, 10312",Richmond,Closure,Permanent,Economic,213,12,12
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"46 Kellogg Road  New Hartford, NY, 13413",Oneida,Closure,Permanent,Economic,176,10,10
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"50 East Montauk Highway  Hampton Bays, NY, 11946",Suffolk,Closure,Permanent,Economic,222,14,14
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"50 Great Neck Road  Great Neck, NY, 11021",Nassau,Closure,Permanent,Economic,155,12,12
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"50 South Main Street  Jamestown, NY, 14701",Chautauqua,Closure,Permanent,Economic,73,17,17
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"50-15 Roosevelt Avenue  Woodside, NY, 11377",Queens,Closure,Permanent,Economic,201,13,13
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"60 Central Avenue  Lancaster, NY, 14086",Erie,Closure,Permanent,Economic,90,15,15
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"60-26 Woodside Avenue  Woodside, NY, 11377",Queens,Closure,Permanent,Economic,202,14,14
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"81 1st Avenue  New York, NY, 10003",New York,Closure,Permanent,Economic,161,15,15
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"81 West Main Street  Gowanda, NY, 14070",Cattaraugus,Closure,Permanent,Economic,69,10,10
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"82 Nugent Street  Southampton, NY, 11968",Suffolk,Closure,Permanent,Economic,223,9,9
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"83 Vandenburgh Ave  Troy, NY, 12180",Rensselaer,Closure,Permanent,Economic,211,12,12
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"85-10 Northern Boulevard  Jackson Heights, NY, 11372",Queens,Closure,Permanent,Economic,203,13,13
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"100 Conhocton St  Corning, NY, 14830",Steuben,Closure,Permanent,Economic,218,11,11
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"101 South  Main Street  Newark, NY, 14513",Wayne,Closure,Permanent,Economic,234,9,9
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"102-30  Atlantic Avenue  Ozone Park, NY, 11416",Queens,Closure,Permanent,Economic,204,16,16
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"103 Hawkins Drive  Montgomery, NY, 12549",Orange,Closure,Permanent,Economic,190,8,8
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"109-07 101St Avenue  Jamaica, NY, 11419",Queens,Closure,Permanent,Economic,205,16,16
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"113 Downer Street  Baldwinsville, NY, 13027",Onondaga,Closure,Permanent,Economic,181,12,12
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"122-02 Liberty Avenue  South Richmond Hill, NY, 11419",Queens,Closure,Permanent,Economic,206,16,16
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"124 Ridge Street  Glens Falls, NY, 12801",Warren,Closure,Permanent,Economic,233,11,11
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"125 South Transit Street  Lockport, NY, 14094",Niagara,Closure,Permanent,Economic,164,12,12
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"130 Washburn Street  Lockport, NY, 14094",Niagara,Closure,Permanent,Economic,165,8,8
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"133 Route 303  Valley Cottage, NY, 10989",Rockland,Closure,Permanent,Economic,214,12,12
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"138 Elm Street  Penn Yan, NY, 14527",Yates,Closure,Permanent,Economic,237,10,10
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"140 Pine Street  Hamburg, NY, 14075",Erie,Closure,Permanent,Economic,91,12,12
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"141 Oriskany Boulevard  Whitesboro, NY, 13492",Oneida,Closure,Permanent,Economic,177,10,10
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"149 Market Street  Amsterdam, NY, 12010",Montgomery,Closure,Permanent,Economic,154,10,10
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"153 Prospect Street  Attica, NY, 14011",Wyoming,Closure,Permanent,Economic,236,10,10
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"158-02 Union Turnpike  Flushing, NY, 11366",Queens,Closure,Permanent,Economic,207,19,19
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"159 Route 6  Mahopac, NY, 10541",Putnam,Closure,Permanent,Economic,194,9,9
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"165-02 Baisley Boulevard  Jamaica, NY, 11434",Queens,Closure,Permanent,Economic,208,14,14
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"168 North Village Avenue  Rockville Centre, NY, 11570",Nassau,Closure,Permanent,Economic,156,10,10
Rite Aid,2025-06-04,2025-05-05,2025-05-23,"170 Eastern Blvd.  Canandaigua, NY, 14424",Ontario,Closure,Permanent,Economic,187,8,8
