Business Legal Name,Date Layoff/Closure Starts,Date of WARN Notice ,Date Posted  ,Impacted Site Address,Impacted Site County,Layoff or Closure?,Permanent or Temporary Layoff?,Reason for Layoff/Closure   ,Index,Number of Affected Workers ,Number of Affected Workers 
"Cherokee Nation Management & Consulting, LLC.",2025-06-22,2025-03-21,2025-06-25,"45 E 45th St  New York, NY, 10017",New York,Closure,Permanent,Contract Termination,23,24,24
"Cherokee Nation Management & Consulting, LLC.",2025-06-22,2025-03-23,2025-06-25,"455 Jefferson St  Brooklyn, NY, 11237",Kings,Closure,Permanent,Contract Termination,21,14,14
"Cherokee Nation Management & Consulting, LLC.",2025-06-22,2025-03-28,2025-06-25,"700 8th Ave  New York, NY, 11105",Queens,Closure,Permanent,Contract Termination,19,17,17
"Cherokee Nation Management & Consulting, LLC.",2025-06-22,2025-03-23,2025-06-25,"4711 Austell Pl  New York, NY, 11101",Queens,Closure,Permanent,Contract Termination,22,15,15
"Church World Service, Inc.",2025-01-31,2025-01-31,2025-05-12,"475 Riverside Dr., #700  New York, NY, 10115",New York,Layoff,Temporary,Funding Loss,112,129,129
"Church World Service, Inc.",2025-01-31,2025-01-31,2025-05-07,"475 Riverside Dr., #700  New York, NY, 10115",New York,Layoff,Temporary,Funding Loss,113,129,129
"Church World Service, Inc.",2025-01-31,2025-01-31,2025-03-25,"475 Riverside Dr., #700  New York, NY, 10115",New York,Layoff,Temporary,Funding Loss,114,129,129
"CINQ NY Health Home IPA, LLC",2025-09-19,2025-01-06,2025-11-13,"564 Niagara Street Building 2 Buffalo, NY, 14201",Erie,Layoff,Permanent,Other,12,25,25
"CINQ NY Health Home IPA, LLC",2025-09-19,2025-01-06,2025-11-13,"1195 Main Street  Buffalo, NY, 14209",Erie,Layoff,Permanent,Other,13,19,19
"Clean Textile Systems, LP. D/B/A Clean Care",2026-03-20,2025-12-12,2026-01-08,"60 Grider Street  Buffalo, NY, 14215",Erie,Layoff,Permanent,Other,9,69,69
"Columbus Restaurant Fund IV, LLC.",2025-09-02,2025-06-04,2025-06-12,"10 Columbus Circle  New York, NY, 10019",New York,Closure,Permanent,Economic,54,80,80
Community Development Institute Head Start,2025-10-31,2025-07-24,2025-08-05,"17 Riverside Drive  Woodbourne, NY, 12788",Sullivan,Closure,Permanent,Other,27,6,6
Community Development Institute Head Start,2025-10-31,2025-07-24,2025-08-05,"130 Waverly Ave  Monticello, NY, 12701",Sullivan,Closure,Permanent,Other,28,20,20
Community Development Institute Head Start,2025-10-31,2025-07-24,2025-08-05,"393 State Route 52  Woodbourne, NY, 12788",Sullivan,Closure,Permanent,Other,29,19,19
Community Development Institute Head Start,2025-10-31,2025-07-24,2025-08-05,"397 State Route 52  Woodbourne, NY, 12788",Sullivan,Closure,Permanent,Other,30,6,6
"Compass Group USA, Inc.",2025-12-15,2025-09-17,2025-09-25,"101 Broad St  Plattsburgh, NY, 12901",Clinton,Closure,Permanent,Contract Loss,54,192,192
"Cornucopia Logistics, LLC.",2025-08-20,2025-08-26,2025-09-16,"55-15 Grand Ave  Maspeth, NY, 11378",Queens,Closure,Permanent,Contract Termination,14,95,95
"Cornucopia Logistics, LLC.",2025-08-20,2025-08-26,2025-09-16,"395 Robbins Lane  Syosset, NY, 11791",Nassau,Closure,Permanent,Contract Termination,13,49,49
"Crescent Duck Farm, Inc.",2025-01-16,2025-01-16,2025-01-28,"10 Edgar Ave. P.O. Box 500 Aquebogue, NY, 11931",Suffolk,Closure,Permanent,Natural Disaster i e flood storm etc,1,45,45
CVS Health,2025-06-21,2025-03-07,2025-04-02,"161 Avenue of the Americas  New York, NY, 10013",New York,Layoff,Permanent,Other,51,26,26
"CYH Manhattan, LLC.",2025-03-14,2025-03-14,2025-06-27,"371 7th Ave  New York, NY, 10001",New York,Closure,Permanent,Contract Termination,18,99,99
"CyraCom International, Inc.",2025-12-03,2025-09-04,2025-09-15,"41-61 Kissena Blvd Suite 1010 Flushing, NY, 11355",Queens,Closure,Permanent,Other,25,154,154
DAC GROUP NEW YORK INC.,2025-12-31,2025-09-30,2025-11-18,"4 Manhattanville Road Suite 203 Purchase, NY, 10577",Westchester,Layoff,Permanent,Contract Loss,9,58,58
