company,city,industry,layoff_start,warn_act,warn_received,layoff_type,layoff_status,affected_workers,period,source_file
Tortilleria La Mayzteca-Rochester 2026,Rochester,Dining Establishments,1/12/2026,NO,,Temporary Layoff,Temporary Layoff/Closure,1,2026-01,plant-closing-mass-layoff-warn-2026-january_tcm1045-722872.pdf
Corona's Tacos 2026,Rochester,Dining Establishments,1/12/2026,NO,,Temporary Layoff,Temporary Layoff/Closure,1,2026-01,plant-closing-mass-layoff-warn-2026-january_tcm1045-722872.pdf
Intercontinental St Paul Riverfront,St Paul,Accommodation,1/20/2026,NO,,Temporary Layoff,Temporary Layoff/Closure,1,2026-01,plant-closing-mass-layoff-warn-2026-january_tcm1045-722872.pdf
Dancing Ganesha-St Louis Park 2026,St Louis Park,Dining Establishments,1/19/2026,NO,,Temporary Layoff,Temporary Layoff/Closure,1,2026-01,plant-closing-mass-layoff-warn-2026-january_tcm1045-722872.pdf
Dancing Ganesha-Minneapolis 2026,Minneapolis,Dining Establishments,1/19/2026,NO,,Temporary Layoff,Temporary Layoff/Closure,1,2026-01,plant-closing-mass-layoff-warn-2026-january_tcm1045-722872.pdf
Great Moon Buffet-Maplewood 2026,Maplewood,Dining Establishments,1/19/2026,NO,,Temporary Layoff,Temporary Layoff/Closure,1,2026-01,plant-closing-mass-layoff-warn-2026-january_tcm1045-722872.pdf
Nachos Mexican Grill 2026,Hopkins,Dining Establishments,1/19/2026,NO,,Temporary Layoff,Temporary Layoff/Closure,1,2026-01,plant-closing-mass-layoff-warn-2026-january_tcm1045-722872.pdf
Bichota Coffee,Minneapolis,Dining Establishments,1/12/2026,NO,,Temporary Layoff,Temporary Layoff/Closure,1,2026-01,plant-closing-mass-layoff-warn-2026-january_tcm1045-722872.pdf
Pajarito 2026,St Paul,Dining Establishments,1/19/2026,NO,,Temporary Layoff,Temporary Layoff/Closure,1,2026-01,plant-closing-mass-layoff-warn-2026-january_tcm1045-722872.pdf
Machete,Woodbury,Dining Establishments,1/20/2026,NO,,Temporary Layoff,Temporary Layoff/Closure,1,2026-01,plant-closing-mass-layoff-warn-2026-january_tcm1045-722872.pdf
Maya Cuisine 2026,Minneapolis,Dining Establishments,1/20/2026,NO,,Temporary Layoff,Temporary Layoff/Closure,1,2026-01,plant-closing-mass-layoff-warn-2026-january_tcm1045-722872.pdf
Pizzeria Lola,Minneapolis,Dining Establishments,1/19/2026,NO,,Temporary Layoff,Temporary Layoff/Closure,1,2026-01,plant-closing-mass-layoff-warn-2026-january_tcm1045-722872.pdf
Treats Cereal Bar & Boba-Mpls 2026,Minneapolis,Dining Establishments,1/16/2026,NO,,Temporary Layoff,Temporary Layoff/Closure,1,2026-01,plant-closing-mass-layoff-warn-2026-january_tcm1045-722872.pdf
Café Fiesta Bar 2026,Rochester,Dining Establishments,1/16/2026,NO,,Temporary Layoff,Temporary Layoff/Closure,1,2026-01,plant-closing-mass-layoff-warn-2026-january_tcm1045-722872.pdf
Dragon Star Buffet 2026,Burnsville,Dining Establishments,1/16/2026,NO,,Temporary Layoff,Temporary Layoff/Closure,1,2026-01,plant-closing-mass-layoff-warn-2026-january_tcm1045-722872.pdf
Marc Heu Patisserie Paris 2026,St Paul,Dining Establishments,1/16/2026,NO,,Workforce Reduction,Small Layoff Services,1,2026-01,plant-closing-mass-layoff-warn-2026-january_tcm1045-722872.pdf
GameStop - Brooklyn Park 2026,Brooklyn Park,Retail,1/14/2026,NO,,Closing,Small Layoff Services,1,2026-01,plant-closing-mass-layoff-warn-2026-january_tcm1045-722872.pdf
GameStop - Rochester,Rochester,Retail,1/14/2026,NO,,Closing,Small Layoff Services,1,2026-01,plant-closing-mass-layoff-warn-2026-january_tcm1045-722872.pdf
Christos Greek Restaurant 2026,Minneapolis,Dining Establishments,1/24/2026,NO,,Temporary Layoff,Temporary Layoff/Closure,1,2026-01,plant-closing-mass-layoff-warn-2026-january_tcm1045-722872.pdf
